Jogador,Pos,Clube,Gols,Assist.,Minutos,Gols_90,Assist._90,PassesProgressivos,ConducoesProgressivas
Rodri,MF,Manchester City,8,9,2931,0.25,0.28,376,76
Phil Foden,FW,Manchester City,19,8,2857,0.6,0.25,168,93
Erling Haaland,FW,Manchester City,27,5,2552,0.95,0.18,26,35
Ollie Watkins,FW,Aston Villa,19,13,3217,0.53,0.36,55,62
Cole Palmer,FW,Chelsea,22,11,2607,0.76,0.38,197,117
Alexander Isak,FW,Newcastle United,21,2,2255,0.84,0.08,71,68
Dominic Solanke,FW,Bournemouth,19,3,3325,0.51,0.08,60,52
Mohamed Salah,FW,Liverpool,18,10,2534,0.64,0.36,147,98
Son Heung-min,FW,Tottenham,17,10,2934,0.52,0.31,139,119
Bukayo Saka,FW,Arsenal,16,9,2919,0.49,0.28,126,155
Jarrod Bowen,FW,West Ham,16,6,3019,0.48,0.18,52,90
Jean-Philippe Mateta,FW,Crystal Palace,16,5,2282,0.63,0.2,25,29
Chris Wood,FW,Nottingham Forest,14,1,1812,0.7,0.05,30,16
Kai Havertz,MF,Arsenal,13,7,2634,0.44,0.24,99,55
Leandro Trossard,FW,Arsenal,12,1,1649,0.65,0.05,76,66
Hwang Hee-chan,FW,Wolverhampton,12,3,2119,0.51,0.13,37,37
Richarlison,FW,Tottenham,11,4,1491,0.66,0.24,38,26
Darwin Núñez,FW,Liverpool,11,8,2047,0.48,0.35,54,58
Julián Álvarez,MF,Manchester City,11,8,2647,0.37,0.27,103,64
Anthony Gordon,FW,Newcastle United,11,10,2890,0.34,0.31,101,138
Matheus Cunha,FW,Wolverhampton,12,7,2440,0.44,0.26,87,107
